,id,factory,columnname,webid,name,tagpath,descriptor,pointclass,pointtype,digitalsetname,engineeringunits,span,zero,step,future,displaydigits,created_at
0,1,MAC,tag001,F1DP7qjp812TukOCueRElcymMwWIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNUZUMDAx,Q0Q1-DCS-ML-105FT001,\MPGDC-PIMSDBQ0Q1-DCS-ML-105FT001,Shredder Flow Lube Oil NDE,classic,Float32,,L/min,50,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
1,2,MAC,tag002,F1DP7qjp812TukOCueRElcymMwWYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNUZUMDAy,Q0Q1-DCS-ML-105FT002,\MPGDC-PIMSDBQ0Q1-DCS-ML-105FT002,Shredder Flow Lube Oil DE,classic,Float32,,L/min,50,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
2,3,MAC,tag003,F1DP7qjp812TukOCueRElcymMwWowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNUZUMDAz,Q0Q1-DCS-ML-105FT003,\MPGDC-PIMSDBQ0Q1-DCS-ML-105FT003,Shredder Flow Cooling Water Motor,classic,Float32,,m3/h,50,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
3,4,MAC,tag004,F1DP7qjp812TukOCueRElcymMwaYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNUxUMDAx,Q0Q1-DCS-ML-105LT001,\MPGDC-PIMSDBQ0Q1-DCS-ML-105LT001,Lube Oil Upper Tank,classic,Float32,,%,100,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
4,5,MAC,tag005,F1DP7qjp812TukOCueRElcymMwaowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNUxUMDAy,Q0Q1-DCS-ML-105LT002,\MPGDC-PIMSDBQ0Q1-DCS-ML-105LT002,Lube Oil Lower Tank,classic,Float32,,%,100,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
5,6,MAC,tag006,F1DP7qjp812TukOCueRElcymMwRowAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDEwQ1VS,Q0Q1-DCS-ML-105MM010CUR,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM010CUR,Shredder Feed A CUR,classic,Float32,,A,750,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
6,7,MAC,tag007,F1DP7qjp812TukOCueRElcymMwR4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDEwU1BE,Q0Q1-DCS-ML-105MM010SPD,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM010SPD,Shredder Feed A SPD,classic,Float32,,rpm,1000,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
7,8,MAC,tag008,F1DP7qjp812TukOCueRElcymMwSIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDExQ1VS,Q0Q1-DCS-ML-105MM011CUR,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM011CUR,Shredder Feed B CUR,classic,Float32,,A,750,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
8,9,MAC,tag009,F1DP7qjp812TukOCueRElcymMwSYwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDExU1BE,Q0Q1-DCS-ML-105MM011SPD,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM011SPD,Shredder Feed B SPD,classic,Float32,,rpm,1000,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
9,10,MAC,tag010,F1DP7qjp812TukOCueRElcymMwZ4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDE0Q1VS,Q0Q1-DCS-ML-105MM014CUR,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM014CUR,Shredder Magnet CUR,classic,Float32,,A,10,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
10,11,MAC,tag011,F1DP7qjp812TukOCueRElcymMwaIwAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDE0UE9X,Q0Q1-DCS-ML-105MM014POW,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM014POW,Shredder Magnet POW,classic,Float32,,kW,100,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
11,12,MAC,tag012,F1DP7qjp812TukOCueRElcymMwX4wAAATVBHREMtUElNU0RCXFEwUTEtRENTLU1MLTEwNU1NMDQ3Q1VS,Q0Q1-DCS-ML-105MM047CUR,\MPGDC-PIMSDBQ0Q1-DCS-ML-105MM047CUR,Lube Oil Motor No.1 CUR,classic,Float32,,A,10,0,FALSE,FALSE,-5,2022-12-22 03:36:20.776653
